| targetfield | observingslot |       airmass |
|     Umi_D01 | 20210211_1000 | 1.64418227453 |
|     Umi_D01 | 20210211_1100 | 1.52547506547 |
|     Umi_D01 | 20210211_1200 | 1.47203972933 |
|     Umi_D01 | 20210211_1300 | 1.47503616804 |
|     Umi_D01 | 20210211_1400 | 1.53494596855 |
|     Umi_D02 | 20210201_0900 | 1.86709744011 |
|     Umi_D02 | 20210201_1000 | 1.65466062214 |
|     Umi_D02 | 20210201_1100 | 1.53109762719 |
|     Umi_D02 | 20210201_1200 |  1.4737680218 |
|     Umi_D02 | 20210201_1300 | 1.47314794958 |
|     Umi_D02 | 20210201_1400 | 1.52913773054 |
|     Umi_D02 | 20210210_0900 | 1.86709744011 |
|     Umi_D02 | 20210210_1000 | 1.65466062214 |
|     Umi_D02 | 20210210_1100 | 1.53109762719 |
|     Umi_D02 | 20210210_1200 |  1.4737680218 |
|     Umi_D02 | 20210210_1300 | 1.47314794958 |
|     Umi_D02 | 20210210_1400 | 1.52913773054 |
|     Umi_D02 | 20210211_0900 | 1.84972969132 |
|     Umi_D02 | 20210211_1000 | 1.64418227453 |
|     Umi_D02 | 20210211_1100 | 1.52547506547 |
|     Umi_D02 | 20210211_1200 | 1.47203972933 |
|     Umi_D02 | 20210211_1300 | 1.47503616804 |
|     Umi_D02 | 20210211_1400 | 1.53494596855 |
|     Umi_D03 | 20210201_0900 | 1.86709744011 |
|     Umi_D03 | 20210201_1000 | 1.65466062214 |
|     Umi_D03 | 20210201_1100 | 1.53109762719 |
|     Umi_D03 | 20210201_1200 |  1.4737680218 |
|     Umi_D03 | 20210201_1300 | 1.47314794958 |
|     Umi_D03 | 20210201_1400 | 1.52913773054 |
|     Umi_D03 | 20210210_0900 | 1.86709744011 |
|     Umi_D03 | 20210210_1000 | 1.65466062214 |
|     Umi_D03 | 20210210_1100 | 1.53109762719 |
|     Umi_D03 | 20210210_1200 |  1.4737680218 |
|     Umi_D03 | 20210210_1300 | 1.47314794958 |
|     Umi_D03 | 20210210_1400 | 1.52913773054 |
|     Umi_D03 | 20210211_0900 | 1.84972969132 |
|     Umi_D03 | 20210211_1000 | 1.64418227453 |
|     Umi_D03 | 20210211_1100 | 1.52547506547 |
|     Umi_D03 | 20210211_1200 | 1.47203972933 |
|     Umi_D03 | 20210211_1300 | 1.47503616804 |
|     Umi_D03 | 20210211_1400 | 1.53494596855 |
|      GE_D00 | 20210201_0600 | 1.09591989816 |
|      GE_D00 | 20210201_0700 | 1.04954405445 |
|      GE_D00 | 20210201_0800 | 1.07718828602 |
|      GE_D00 | 20210201_0900 | 1.18947283061 |
|      GE_D00 | 20210201_1000 | 1.43760215288 |
|      GE_D00 | 20210201_1100 | 1.99133748575 |
|      GE_D00 | 20210210_0600 | 1.09591989816 |
|      GE_D00 | 20210210_0700 | 1.04954405445 |
|      GE_D00 | 20210210_0800 | 1.07718828602 |
|      GE_D00 | 20210210_0900 | 1.18947283061 |
|      GE_D00 | 20210210_1000 | 1.43760215288 |
|      GE_D00 | 20210210_1100 | 1.99133748575 |
|      GE_D00 | 20210211_0600 | 1.09042790412 |
|      GE_D00 | 20210211_0700 |  1.0491193767 |
|      GE_D00 | 20210211_0800 | 1.08167335878 |
|      GE_D00 | 20210211_0900 |  1.2006600463 |
|      GE_D00 | 20210211_1000 | 1.46136343108 |
|      GE_D01 | 20210201_0600 | 1.09788712911 |
|      GE_D01 | 20210201_0700 | 1.04981464794 |
|      GE_D01 | 20210201_0800 | 1.07584934574 |
|      GE_D01 | 20210201_0900 | 1.18597904353 |
|      GE_D01 | 20210201_1000 | 1.43013283709 |
|      GE_D01 | 20210201_1100 | 1.97339890062 |
|      GE_D01 | 20210210_0600 | 1.09788712911 |
|      GE_D01 | 20210210_0700 | 1.04981464794 |
|      GE_D01 | 20210210_0800 | 1.07584934574 |
|      GE_D01 | 20210210_0900 | 1.18597904353 |
|      GE_D01 | 20210210_1000 | 1.43013283709 |
|      GE_D01 | 20210210_1100 | 1.97339890062 |
|      GE_D01 | 20210211_0600 | 1.09226940291 |
|      GE_D01 | 20210211_0700 | 1.04928795087 |
|      GE_D01 | 20210211_0800 | 1.08021820233 |
|      GE_D01 | 20210211_0900 | 1.19698329936 |
|      GE_D01 | 20210211_1000 | 1.45350142216 |
|      GE_D02 | 20210201_0600 | 1.09850900584 |
|      GE_D02 | 20210201_0700 |   1.050004292 |
|      GE_D02 | 20210201_0800 | 1.07564870629 |
|      GE_D02 | 20210201_0900 | 1.18527876534 |
|      GE_D02 | 20210201_1000 | 1.42853662174 |
|      GE_D02 | 20210201_1100 | 1.96948260025 |
|      GE_D02 | 20210210_0600 | 1.09850900584 |
|      GE_D02 | 20210210_0700 |   1.050004292 |
|      GE_D02 | 20210210_0800 | 1.07564870629 |
|      GE_D02 | 20210210_0900 | 1.18527876534 |
|      GE_D02 | 20210210_1000 | 1.42853662174 |
|      GE_D02 | 20210210_1100 | 1.96948260025 |
|      GE_D02 | 20210211_0600 |  1.0928586351 |
|      GE_D02 | 20210211_0700 | 1.04945226953 |
